,Character,Song_fd,Song_log_fd,Yuan_fd,Yuan_log_fd,Ming_fd,Ming_log_fd,Qing_fd,Qing_log_fd,Subtlex_fd,Subtlex_log_fd
3251,诧,11.022809730410161,1.0422923109293543,7.992000504837879,0.9026555026513966,11.376702503994725,1.05601640161605,10.109515022382373,1.0047303219455859,0.2813553756959289,-0.5507447826149293
3252,棚,1.734597190134312,0.23919863854331821,3.0531237883650326,0.484744413048739,1.4585516030762469,0.1639217989255697,3.786602799902939,0.5782497516860658,1.8219476157870513,0.2605358860828229
3253,冠,1.2955198977310816,0.11244408764870514,1.2846494809200464,0.10878464574649095,1.4473137977456145,0.1605627024075786,0.9022947860237781,-0.0446515522274243,0.1666044334624111,-0.778313445890563
3254,蟀,0.7148759667937148,-0.14576930310777653,0.9106251564303328,-0.04066035628132296,1.0846693611609273,0.03529737274030669,1.4943144187764719,0.17444198701943267,0.055671829749520785,-1.2543645046305283
3255,蒲,1.3817384061604503,0.14042582920701355,1.4500129853131907,0.16137189149332862,1.235385237578242,0.09180240736543173,1.0734368902292122,0.030776516372745213,0.00967475502193118,-2.0143600231018643
3256,巳,0.8200658573411994,-0.08615126916336867,1.582840673691549,0.19943720164759074,2.051919969525883,0.3121604181010412,1.0430360551336848,0.01829932115420316,0.004838414351070822,-2.315296942365596
3257,困,2.0032641233430852,0.3017382132717256,1.4263665005086172,0.1542311304932259,0.9623369945349386,-0.016672818566725478,1.29391263500159,0.11190495375337792,1.20011250624189,0.07922196150570542
3258,愎,1.230453179208576,0.09006509272535496,2.424539478995761,0.38462926016547117,0.7001047694765985,-0.15483696369884306,0.9645120339375408,-0.01569234941971715,0.12352187225674925,-0.9082561342313589
3259,觊,2.665981888285248,0.4258571946485481,2.8735282714023835,0.45841547432638985,1.4002095389531972,0.1461930319651382,2.214805411263983,0.3453355759195495,0.4117395741891642,-0.38537738895102125
3260,娥,0.7558787211092157,-0.12154788039596237,1.1023856403036285,0.04233354747219257,0.801051893584244,-0.09633934862578641,1.226086569457152,0.08852113519889805,0.018013606370775936,-1.7443993315926891
3261,榄,17.68776445112328,1.247672946087023,31.519013226944896,1.498572612472308,20.303038314821357,1.307561034200113,7.394592260187814,0.8689142318782134,66.02244072123247,1.819691575313438
3262,泮,3.8205571214426293,0.5821266972379541,3.7822815872333875,0.5777538585199328,4.676699860103678,0.6699394987767027,2.6491930532151127,0.4231136075577363,0.027174811896484838,-1.5658334534091525
3263,点,1.7626858967727923,0.24617492974019498,1.6701245196743062,0.22274885210053644,1.3138977841101211,0.1185615801981586,2.557094206130784,0.4077467282019742,8.349465520417276,0.9216586756078201
3264,琉,1.2318514214576763,0.09055832898723414,0.8596094516439515,-0.06569881796625472,0.7319277135437167,-0.1355318085034564,1.4263087047318785,0.154213532705106,0.040986803067012245,-1.3873559549331091
3265,岑,0.39496273621103223,-0.40344387708577967,0.6388070813567962,-0.19463027822996185,0.5212293594227458,-0.2829711296513573,0.43754491578365384,-0.3589773582399841,0.000878874899627582,-3.05607293865544
