Character,唐Left_Entropy,唐Right_Entropy,宋Left_Entropy,宋Right_Entropy,元Left_Entropy,元Right_Entropy,明Left_Entropy,明Right_Entropy,清Left_Entropy,清Right_Entropy,CaiLeft_Entropy,CaiRight_Entropy
常,8.86049632074458,8.402243864373077,9.17871476050575,9.31743864263238,8.009253824146477,8.972780342820732,8.47984954343955,9.383546704276627,8.406622183042131,9.046565754698571,2.915728954257212,7.577513892947778
刁,4.786425874087821,1.1475451506656411,6.351035507034041,4.25945696501914,4.879664004902592,2.095035095618732,6.844415935383124,1.9140225446443704,6.083258390046227,3.3550113676861253,5.188946041218395,2.860687163772233
铅,6.6940775987957775,6.060102177878609,7.889062393903254,5.895424603078884,6.931749851456557,6.022887835756577,7.710289851907015,4.821473083368741,7.02563541823104,5.425706776514312,5.892537915531341,3.536348608227636
掾,5.476590651477506,6.011643126854669,6.790657817854387,7.830981676149348,5.634095823019771,6.574701257155145,5.939672965725251,6.565471210154659,4.796154712090538,5.582644981137961,-0.0,-0.0
姚,7.080169338951555,2.9882551934355943,8.071463184600022,4.962291896341771,6.734068758141184,4.711776642883357,7.3928093051975585,7.281083376768259,7.686701582795472,5.781385001159194,3.621928094887362,2.484183719779189
讦,2.94770277922009,2.725480556997868,3.7434651896016455,4.0276834836312485,1.0,1.0,3.272905595320056,3.5068905956085192,2.931208948910323,3.392747410448785,-0.0,-0.0
英,7.912785463796864,7.251988490618291,8.709142701423062,8.413365085583184,8.26011991374205,6.914791378908696,8.715559282666167,7.828164863124995,7.511427064039335,7.572574941156551,7.493925719939692,4.200954772860118
帅,4.432861613141896,6.09811590964183,7.327032582165798,8.085842656336187,4.342983760509651,6.345839138334052,6.030495310960924,7.571206032020782,5.741153338356524,7.713758352540768,6.054322180323473,5.152981951900512
盖,6.769209414516826,8.401747672265502,7.793526100505624,8.981124400959203,6.308886761006574,8.243521755773777,6.330774705887562,9.004217492709202,7.034298805734758,8.404479188692997,6.5351159942379216,7.241165218623914
剜,3.321928094887362,3.321928094887362,5.759742275973355,5.3048042066533085,4.418295834054489,4.584962500721156,5.4760641950504745,4.689455907764207,5.622875543671978,3.906233558949112,2.725480556997868,2.725480556997868
裳,2.8932146836332886,7.857165134984005,4.636087137769299,9.314158478316594,4.440525712286155,8.170951523092484,5.000908304276769,9.269236485910188,4.351176897545023,8.7760287482484,0.9580420222262996,2.6911294625574627
任,8.40877880063995,8.40024116192364,9.203075822817516,9.062592958655015,8.581028133738986,8.256432071221786,6.774072684780138,9.557622067046628,9.259217523332934,9.149335310948624,6.4773757153115215,3.568878263995458
魄,6.082266760055166,7.629735807688696,6.053897246183289,8.454380018105478,5.347204431870932,7.567186326066277,5.684438304990237,8.717831482757825,5.873098216870259,8.581926698552486,3.251023858903424,4.837233111737307
承,8.330749991598925,6.39771957799388,9.206158601256716,7.387991965142416,8.66790059115538,6.397215117824937,7.959078128760336,6.101728312280663,8.431420186940715,6.5911146917133445,6.411378300517102,3.129202917415606
秀,8.045888810357239,5.405767842958052,9.01307917621824,8.03815836102166,7.860052251291841,7.440898882620652,8.727781986491358,7.9170218421820495,8.519690391749767,8.172658735512455,5.670108278131673,6.728775482401487
曼,4.942782734610329,2.840722894366185,7.012568890719429,4.524280267937953,4.901417054701796,3.955724418542104,7.145583681777575,4.560324328767035,6.435346416566601,4.274788453956513,6.6968930217738745,7.058844101114815
淙,3.1841509721544865,4.185461060501286,5.675721935194614,5.613697327468825,3.6052239047702734,4.242191520596849,4.697770517532504,6.107921918299232,4.393759811023701,4.929442973699382,-0.0,-0.0
蘖,5.114332331703091,5.5972763162625965,4.799944224800069,7.517551399551963,4.077240257437885,5.33976880463795,4.691680495572014,7.171262489635389,5.040014507359025,6.237186195803523,-0.0,-0.0
簿,3.5611486338543714,6.00378671438819,6.767129358385166,6.278510543891806,5.195068565168058,4.840240377081682,6.775211218349612,5.767610270570159,6.125104933012957,5.488652729812207,4.038486070180134,5.88518881485671
