,Charcter,Frequency,log_frequency,Frequency_per_million,CD,Log_CD,Strokes,Tone,Rhyme
9040,郪,10,1.0,0.1941840889999999,10,1.0,10.0,平,上平四支 上平八齐
9041,榞,1,0.0,0.0194184089999999,1,0.0,14.0,平,上平十三元
9042,昈,7,0.8450980400142568,0.135928863,6,0.7781512503836436,8.0,仄,上声七麌
9043,汃,5,0.6989700043360189,0.097092045,4,0.6020599913279624,5.0,平/仄,上平十一真 入声八黠
9044,鞔,23,1.3617278360175928,0.446623406,20,1.3010299956639813,16.0,平,上平十四寒
9045,婥,17,1.230448921378274,0.330112952,15,1.1760912590556811,11.0,仄,去声十九效 入声十药 入声十二锡
9046,槬,2,0.3010299956639812,0.0388368179999999,2,0.3010299956639812,15.0,仄,去声二十二祃
9047,㨝,1,0.0,0.0194184089999999,1,0.0,13.0,仄,入声九屑
9048,摒,28,1.4471580313422192,0.54371545,27,1.4313637641589874,12.0,仄,去声二十四敬
9049,䂍,1,0.0,0.0194184089999999,1,0.0,20.0,仄,入声三觉
9050,睋,11,1.0413926851582251,0.213602498,11,1.0413926851582251,12.0,平,下平五歌
9051,嶛,4,0.6020599913279624,0.0776736359999999,4,0.6020599913279624,15.0,平,下平二萧
9052,䬓,1,0.0,0.0194184089999999,1,0.0,18.0,仄,去声二十八勘
9053,䬔,2,0.3010299956639812,0.0388368179999999,2,0.3010299956639812,18.0,平,上平六鱼
9054,駖,4,0.6020599913279624,0.0776736359999999,4,0.6020599913279624,15.0,平,下平九青
9055,赗,20,1.3010299956639813,0.388368179,20,1.3010299956639813,13.0,仄,去声一送
9056,嵔,7,0.8450980400142568,0.135928863,7,0.8450980400142568,12.0,仄,上声十贿
9057,撶,7,0.8450980400142568,0.135928863,7,0.8450980400142568,13.0,,
9058,俀,4,0.6020599913279624,0.0776736359999999,4,0.6020599913279624,9.0,仄,上声十贿
9059,鸀,14,1.146128035678238,0.271857725,14,1.146128035678238,24.0,仄,入声二沃
9060,鳿,16,1.2041199826559248,0.310694543,16,1.2041199826559248,15.0,仄,入声二沃
9061,挶,14,1.146128035678238,0.271857725,14,1.146128035678238,10.0,仄,入声二沃
9062,椵,10,1.0,0.1941840889999999,10,1.0,13.0,平/仄,下平六麻 上声二十一马 去声二十二祃
9063,蚛,4,0.6020599913279624,0.0776736359999999,4,0.6020599913279624,10.0,仄,去声一送
9064,篊,3,0.4771212547196624,0.058255227,3,0.4771212547196624,15.0,平,上平一东
9065,硐,16,1.2041199826559248,0.310694543,15,1.1760912590556811,11.0,仄,上声一董
9066,靈,1,0.0,0.0194184089999999,1,0.0,24.0,,
9067,遀,2,0.3010299956639812,0.0388368179999999,2,0.3010299956639812,12.0,,
9068,㡠,18,1.2552725051033058,0.349531361,18,1.2552725051033058,15.0,仄,去声二十四敬
9069,嬰,1,0.0,0.0194184089999999,1,0.0,17.0,,
