Character,Tang&Song,Tang&Yuan,Tang&Ming,Tang&Qing,Tang&Subtlex
怏,0.08318457752466202,0.016488173976540565,0.08892509341239929,0.04644326865673065,-0.008815920911729336
装,0.08163328468799591,0.05216746777296066,0.040435608476400375,0.012430828996002674,0.0024570615496486425
伉,0.014516978524625301,0.10630708932876587,0.0359668955206871,0.0965382382273674,0.0
众,-0.029713885858654976,0.12109482288360596,-0.0012284844415262341,-0.00018832803471013904,0.15812262892723083
痊,0.05157480388879776,0.19165238738059998,0.08147849142551422,0.12273208796977997,0.1111476868391037
渣,0.0,0.0,0.0,0.0,0.0
述,-0.09532808512449265,0.010442586615681648,-0.048252373933792114,0.05644679814577103,0.006115392316132784
蒻,0.0,0.0,0.0,0.0,0.0
司,-0.03600572422146797,0.02456606738269329,0.014020225964486599,0.1404401957988739,0.1287706196308136
鸢,0.07871195673942566,0.10256524384021759,0.2267954796552658,-0.01876136101782322,0.06255201250314713
钊,0.06599151343107224,0.0,0.0,0.07613638788461685,0.0
疵,0.060202062129974365,0.06992273032665253,-0.01724189706146717,0.04514085501432419,0.19152101874351501
施,0.03020048886537552,0.06202841177582741,0.025668729096651077,0.05092167109251022,0.014623059891164303
姨,0.0342223085463047,0.03489047288894653,0.012476658448576927,-0.023811716586351395,0.007833190262317657
缕,-0.02159416489303112,0.06015566363930702,-0.08371450752019882,0.0793934315443039,0.016078878194093704
稻,0.0712977796792984,-0.028474189341068268,-0.015986040234565735,0.09027115255594254,0.06477133184671402
狒,0.1871047168970108,0.15293088555335999,0.031466566026210785,0.032286763191223145,0.134432852268219
纵,-0.12384522706270218,0.06689167767763138,0.028745660558342934,0.13647329807281494,-0.016881152987480164
矜,-0.01636701449751854,0.0324305035173893,-0.03466926887631416,0.02102191559970379,0.09005354344844818
践,-0.03729478269815445,-0.05488560348749161,0.031382087618112564,0.04215027764439583,0.03480154648423195
坳,0.01995929703116417,0.012613930739462376,-0.02414567954838276,0.034970756620168686,0.19814345240592957
介,0.0035378672182559967,0.14474031329154968,0.09554687142372131,0.1711702048778534,0.018802128732204437
筛,-0.023755062371492386,0.1375226527452469,0.18482092022895813,0.14916981756687164,0.0645829290151596
挛,0.010192842222750187,0.23359529674053192,0.09161502867937088,0.16410613059997559,0.11218493431806564
赧,0.07504647225141525,0.23882752656936646,0.05838683620095253,0.0543115958571434,0.0
物,0.07544232904911041,0.1474505215883255,0.044451694935560226,0.12919355928897858,0.0300762876868248
溢,0.05956921726465225,-0.024288982152938843,-0.030797552317380905,0.017565904185175896,0.12747535109519958
谨,0.06935226917266846,0.04138417914509773,0.018111227080225945,0.05829683318734169,0.06414729356765747
缔,-0.0005798736237920821,-0.06822790950536728,-0.010292143560945988,-0.0687929317355156,0.07592887431383133
筹,0.0028783173765987158,0.07708869129419327,-0.034500852227211,0.05358009785413742,0.08813751488924026
奥,0.04402521997690201,0.04016193747520447,-0.054318733513355255,0.011296335607767105,0.07650163769721985
合,-0.1121683418750763,0.06059611961245537,0.12147551029920578,0.020438330247998238,-0.015851924195885658
头,0.033073790371418,0.10251513123512268,0.06017119064927101,0.09512922912836075,0.012589078396558762
涣,-0.04327283054590225,-0.0455891452729702,0.01983601599931717,0.061428409069776535,0.09534833580255508
宴,0.06962302327156067,0.11231005936861038,0.0897451862692833,0.04254249483346939,0.028941962867975235
拇,0.0,0.0,0.0,0.0,0.0
夫,-0.033916622400283813,0.11172405630350113,0.08411002159118652,-0.04341360181570053,0.042245958000421524
陂,0.09148512780666351,0.003580210730433464,-0.10047577321529388,0.015581381507217884,0.0
珠,-0.0434965081512928,0.11959788203239441,0.07930897921323776,0.1592816263437271,0.000680258497595787
蚌,0.13218414783477783,0.023290829733014107,0.065151646733284,0.1166374683380127,0.09624384343624115
膺,-0.002611710922792554,-0.014009032398462296,-0.010613294318318367,0.09845726937055588,0.211805060505867
绥,0.04136805981397629,0.0136555265635252,0.013291733339428902,0.052658241242170334,0.0
音,0.046982210129499435,-0.052841782569885254,-0.01542810257524252,0.027905883267521858,-0.01659761741757393
函,0.02752075158059597,0.05057724565267563,0.13886013627052307,0.05981225520372391,-0.04410183057188988
餮,0.0,0.0,0.0,0.0,0.0
鍊,-0.0022926037199795246,0.06782078742980957,-0.012529736384749413,0.04285496473312378,0.0
樯,-0.0033477842807769775,-0.009287439286708832,0.11434171348810196,0.03216074779629707,0.0
一,0.016310330480337143,0.1511273980140686,0.10880832374095917,0.12700946629047394,0.010488499887287617
煮,0.07607144862413406,0.12753035128116608,0.03488265350461006,0.03542443364858627,0.03700559213757515
刷,-0.03623863682150841,0.011167233809828758,0.02857811190187931,0.021677564829587936,0.020278165116906166
灯,-0.007092280313372612,0.02432098239660263,0.10836710035800934,0.03809323161840439,0.07028716057538986
北,0.07005879282951355,0.09352432191371918,0.03846617415547371,0.06084832176566124,0.06250715255737305
抹,-0.041457947343587875,0.06424523144960403,0.08895774930715561,0.12078023701906204,-0.009546485729515553
尾,-0.08416713029146194,0.04282167926430702,0.04837336018681526,0.07486200332641602,0.15632134675979614
讶,0.05331994220614433,0.040879447013139725,0.05626427382230759,0.04970076307654381,0.06328420341014862
巍,-0.12896963953971863,0.03109285980463028,-0.01789841055870056,0.08746947348117828,0.10542433708906174
恧,0.008724450133740902,0.2299327403306961,-0.02011462301015854,0.13467693328857422,0.0
慑,0.05561036616563797,0.12070482224225998,0.021429020911455154,0.10274504125118256,0.12072200328111649
琦,0.05948709324002266,0.14995627105236053,-0.06277984380722046,0.1533031165599823,-0.029739366844296455
宗,0.03502148389816284,-0.01729695498943329,0.05339065194129944,0.04161743447184563,0.09391255676746368
鹞,0.03727644309401512,0.15186113119125366,0.04738277196884155,0.12645912170410156,0.20400352776050568
悟,-0.03013705648481846,0.12398242950439453,0.0019457053858786821,0.04835515841841698,-0.04169505834579468
赭,-0.018692586570978165,0.11633884906768799,0.1646689623594284,0.0447656512260437,0.0
武,0.06162378937005997,-0.0626383051276207,0.04422247037291527,0.06377870589494705,0.1260560303926468
霖,0.12023057788610458,0.10714630782604218,0.0966668352484703,-0.005708038341253996,0.0
差,-0.006429014727473259,0.1094261035323143,0.047915030270814896,0.10004919767379761,-0.026802703738212585
巫,0.0182112418115139,0.007033875212073326,-0.08891664445400238,0.030398163944482803,-0.03285294771194458
蹶,0.008258054032921791,0.19976945221424103,0.05492069572210312,0.022245848551392555,0.002072945237159729
姣,0.0,0.0,0.0,0.0,0.0
辇,0.08487594127655029,-0.04356526955962181,0.02925514616072178,0.01715197041630745,0.0
狼,0.07725010067224503,0.05640319734811783,0.04218853637576103,0.1448352336883545,0.0748310536146164
腼,0.06616571545600891,0.05398591607809067,-0.12765924632549286,0.08236448466777802,-0.0002257675223518163
赓,0.10473445802927017,0.1289759874343872,0.07804586738348007,0.011556549929082394,0.0
皲,0.0,0.0,0.0,0.0,0.0
弄,0.08661844581365585,0.072401262819767,-0.03569650650024414,0.10132107883691788,0.08368703722953796
阂,0.06316899508237839,0.08931152522563934,0.06868360936641693,0.18223929405212402,0.21957522630691528
铲,0.017065683379769325,0.0476180799305439,0.01297819335013628,0.07856793701648712,0.12844598293304443
丹,0.10618139058351517,0.0538516640663147,0.053672678768634796,-0.008632754907011986,0.07120615988969803
讨,0.045617520809173584,-0.028774160891771317,-0.0019925290253013372,0.061107147485017776,0.017223352566361427
螽,0.12326845526695251,0.08421377837657928,0.007231006398797035,0.05280017852783203,0.1271210014820099
悯,0.020496588200330734,0.13325829803943634,-0.03410875424742699,-0.012579134665429592,0.016023313626646996
湮,0.012452294118702412,0.12017104029655457,0.04399467632174492,0.0006694977637380362,0.11061158031225204
酥,-0.007765995338559151,0.11195482313632965,0.08506817370653152,0.15872859954833984,0.028587644919753075
儡,0.0,0.0,0.0,0.0,0.0
造,0.0010296649998053908,0.13588836789131165,0.0804029107093811,0.06118067726492882,0.031960926949977875
橹,0.0036974563263356686,0.04665420949459076,0.046077191829681396,0.03278771787881851,0.0
蕈,0.12013193219900131,0.30103713274002075,0.06321164965629578,0.0,0.0
坞,0.025719596073031425,0.05275236442685127,-0.006752745248377323,-0.010369010269641876,0.08268941193819046
剑,-0.029443079605698586,-0.004496466834098101,-0.12717147171497345,0.017557155340909958,0.11408215016126633
踪,0.050050217658281326,0.02903049811720848,0.10288011282682419,0.028729882091283798,-0.09903259575366974
牌,-0.07209870219230652,0.14753763377666473,0.05728524923324585,0.0005092174978926778,0.10751425474882126
玩,0.008648916147649288,0.07915657758712769,0.08121151477098465,0.03348143398761749,-0.04412464052438736
吴,-0.06867153197526932,0.07608851790428162,0.03495582938194275,0.009419061243534088,0.05972211807966232
死,0.07556688785552979,0.0980401411652565,0.08525961637496948,-0.04057472571730614,0.06079239398241043
醇,0.006421774160116911,0.15240858495235443,0.09869599342346191,0.1904911994934082,0.09482438117265701
度,-0.06901545822620392,-0.04117259010672569,0.0492158941924572,0.02963312901556492,0.0957513377070427
获,-0.019626479595899582,-0.0033265522215515375,0.04164307564496994,0.07453799992799759,0.1163097694516182
带,0.03321708366274834,0.10787636786699295,0.008083288557827473,-0.021340729668736458,0.021443303674459457
甘,-0.049734748899936676,0.13733409345149994,0.038012001663446426,0.00942537933588028,-0.0011858918005600572
钜,-0.05169131979346275,0.024702025577425957,0.16930264234542847,0.054351743310689926,0.0
漪,-0.03579799085855484,0.09578816592693329,0.10194918513298035,-0.009647317230701447,0.1835225224494934
机,-0.04258441552519798,0.1355336308479309,0.006201440002769232,0.029537208378314972,0.05392579734325409
尊,0.02933454141020775,-0.02782653085887432,0.09223809838294983,0.1360487937927246,-0.07440780103206635
嶙,-0.014579611830413342,0.09855284541845322,0.003290623426437378,0.0038402059581130743,-0.02549009583890438
首,0.022064683958888054,0.11752551048994064,-0.023837905377149582,0.088320292532444,-0.015931524336338043
戌,-0.04953053221106529,0.061662837862968445,0.05609191581606865,0.1407439112663269,0.0
争,-0.06612894684076309,0.05045359954237938,0.05168353021144867,0.05335394665598869,0.1231965571641922
再,-0.0061263591051101685,0.006584687624126673,-0.03823954612016678,0.04600875452160835,0.050148170441389084
压,0.04361638426780701,0.05685572698712349,0.16797702014446259,0.05360230430960655,0.15304601192474365
菱,0.07084432244300842,0.09817544370889664,0.15038885176181793,0.08387783169746399,0.1271822154521942
褪,0.023760966956615448,0.22585752606391907,0.1267082840204239,0.1998569816350937,0.245213583111763
平,0.003246215172111988,0.040068529546260834,0.026062773540616035,0.059367336332798004,0.044536251574754715
沤,0.04167043790221214,-0.03240589797496796,0.11318819224834442,0.0961444303393364,0.0
旅,-0.011452920734882355,-0.020787471905350685,-0.0037343609146773815,0.059658728539943695,-0.0022446690127253532
哓,0.1682211309671402,0.24057526886463165,0.12347088009119034,0.12433779984712601,0.0
法,-0.026519928127527237,0.06909491121768951,0.05357489362359047,0.018964920192956924,-0.008033374324440956
冈,0.040139857679605484,0.07146669924259186,0.10775505006313324,0.1529693603515625,-0.011414040811359882
裆,0.15054447948932648,0.27884745597839355,0.1751381754875183,0.21790280938148499,0.06690793484449387
叮,-0.030551621690392494,0.071192666888237,0.023873109370470047,0.022735226899385452,-0.025111481547355652
嫂,0.054229773581027985,0.13957251608371735,-0.034112147986888885,0.027129312977194786,-0.055303994566202164
所,0.042905014008283615,-0.0232363510876894,0.09402123093605042,0.1313498467206955,0.11891648173332214
雾,-0.0731724202632904,0.18521830439567566,-0.014286323450505733,0.07290869206190109,0.1044514924287796
