Character,Raw_Tang,Raw_Song,Raw_Yuan,Raw_Ming,Raw_Qing,Raw_Subtlex,PerMillion_Tang,PerMillion_Song,PerMillion_Yuan,PerMillion_Ming,PerMillion_Qing,PerMillion_Subtlex
赧,8,63,17,56,40,1,2.375550125443894,2.894713082242245,4.115779292545961,2.871000267259364,3.8802131633903443,0.021345822973582857
物,3371,24314,3568,14269,6173,30079,1000.9974341089206,1117.1754584386974,863.8294421061169,731.5411216700691,598.8138964402149,642.0610092223988
溢,169,947,153,795,281,295,50.183496400002255,43.51259188703819,37.04201363291365,40.757950222699904,27.25849747281717,6.297017777206944
谨,38,1333,197,828,441,766,11.283863095858496,61.24845299410972,47.69461886067966,42.449789665906316,42.779350126378546,16.35090039776447
缔,12,135,20,169,121,66,3.5633251881658405,6.20295660480481,4.842093285348189,8.664268663693438,11.73764481925579,1.4088243162564684
筹,191,1408,284,1748,1153,1404,56.71625924497297,64.69453999677907,68.75772465194427,89.61622262802445,111.84714443472667,29.969535454910332
奥,54,535,140,241,249,8689,16.034963346746284,24.58208728570795,33.894652997437326,12.355554721598335,24.15432694210489,185.47385581746147
合,2847,11975,2155,10853,5249,27378,845.3989008923456,550.2252247595378,521.7355514962674,556.4101053672479,509.1809723658979,584.4059413707515
头,4807,37268,7457,29275,16608,49069,1427.4086816260997,1712.3836055397458,1805.3744814420722,1500.866657571748,1611.0645054396707,1047.4181874907372
涣,73,201,56,176,77,15,21.67689489467553,9.235513167153828,13.557861198974928,9.02314369710086,7.469410339526412,0.3201873446037429
宴,1661,4416,994,4496,1660,1463,493.2235947952884,202.9056027171707,240.65203628180498,230.50030717139467,161.0288462806993,31.22893901035172
拇,2,20,6,22,39,361,0.5938875313609735,0.918956534045157,1.4526279856044568,1.1278929621376075,3.783207834305585,7.705842093463411
夫,2432,16551,2801,15620,5224,23767,722.1672381349438,760.4824797490697,678.1351646130138,800.8040031177012,506.755839138779,507.32617461314385
陂,260,1726,275,1055,649,1,77.20537907692655,79.30594888809706,66.57878267353759,54.08759432068981,62.95645857600833,0.021345822973582857
珠,2140,9429,2342,11212,7654,1970,635.4596585562416,433.2420579755893,567.009123714273,574.8152677948569,742.4787888147423,42.05127125795823
蚌,56,381,47,283,135,32,16.628850878107258,17.50612197356024,11.378919220568244,14.508804922042858,13.095719426442411,0.6830663351546514
膺,151,857,161,896,328,10,44.8385086177535,39.377287483834984,38.97885094705292,45.93600427614982,31.817747939800824,0.21345822973582856
绥,41,262,50,438,164,3,12.174694392899955,12.038330595991557,12.105233213370472,22.455323518921453,15.908873969900412,0.06403746892074856
音,1451,9106,1787,8583,4316,18229,430.86540400238624,418.40090995076,432.6410350458607,440.0320588194129,418.67500032981815,389.1130069854419
函,231,1104,262,5412,850,206,68.59400987219243,50.726400679292674,63.43142203806127,277.4616686858514,82.45452972204481,4.397239532558069
餮,1,43,6,25,45,8,0.29694376568048675,1.9757565481970878,1.4526279856044568,1.2816965478836446,4.365239808814137,0.17076658378866286
鍊,296,984,260,1096,249,1,87.89535464142406,45.21266147502173,62.94721270952646,56.189576659218986,24.15432694210489,0.021345822973582857
樯,155,939,172,1002,618,1,46.026283680475444,43.14500927342013,41.64200225399443,51.37039763917648,59.949293374380815,0.021345822973582857
一,21612,197980,28626,143819,84576,604061,6417.54866388668,9096.75073051301,6930.488119318862,7373.292632803116,8204.322712672545,12894.179171245434
煮,178,2031,499,1321,779,821,52.85599029112664,93.3200360322857,120.81022746943731,67.72484559017178,75.56715135702694,17.524920661311526
刷,69,244,67,231,133,1394,20.489119831953584,11.211269715350916,16.221012505916434,11.842876102444876,12.901708768272893,29.756077225174504
灯,1550,11238,2090,11328,7219,4413,460.26283680475444,516.3616764799738,505.9987483188857,580.7623397770371,700.2814706628724,94.19911678242114
北,4017,20764,4616,23055,9540,3768,1192.8231067385152,954.0606736456821,1117.555130258362,1181.9805564582973,925.430839468597,80.43106096446022
抹,37,925,157,578,759,867,10.986919330178008,42.50173969958851,38.01043228998328,29.63282418706987,73.62704477533178,18.506828518096338
尾,427,3860,703,2225,2181,3109,126.79498794556784,177.3586110707153,170.19957897998884,114.07099276164438,211.56862273385852,66.36416362486911
讶,167,845,213,1785,745,1671,49.589608868641285,38.82591356340789,51.56829348895821,91.51313351889223,72.26897016814516,35.66887018885696
巍,118,1561,318,1996,633,16,35.03936435029743,71.72455748222451,76.9892832370362,102.3306523830302,61.40437331065219,0.3415331675773257
恧,9,48,8,59,36,1,2.6724938911243807,2.205495681708377,1.9368373141392754,3.0248038530054018,3.4921918470513096,0.021345822973582857
慑,29,156,19,127,90,74,8.611369204734116,7.167860965552225,4.599988621080779,6.511018463248915,8.730479617628275,1.5795909000451316
琦,6,853,765,144,589,93,1.7816625940829203,39.19349617702595,185.2100681645682,7.3825721158097934,57.13613883092282,1.9851615365432058
宗,1111,8455,1779,8037,2438,1751,329.9045236710208,388.4888747675902,430.7041977317214,412.0398062136341,236.49899230864148,37.37653602674359
